date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,Inflation_USD,Inflation_Local,GDP
2019-07-09,MYS,MYR,Malaysia,8.85,4.1425,2.1363910681955303,0.01699799666467889,0.04733727810650892,11132.102742941799
2020-07-01,MYS,MYR,Malaysia,9.99,4.2655,2.3420466533817796,0.09626308041062594,0.12881355932203398,10164.344431073001
2000-04-01,RUS,RUB,Russia,39.5,28.5,1.3859649122806998,,,1771.59411621094
2001-04-01,RUS,RUB,Russia,35.0,28.9,1.2110726643598602,-0.12618807761377057,-0.11392405063291139,2100.3525390625
2002-04-01,RUS,RUB,Russia,39.0,31.2,1.25,0.03214285714285836,0.11428571428571428,2377.52954101563
2003-04-01,RUS,RUB,Russia,41.0,31.1,1.31832797427653,0.05466237942122394,0.05128205128205128,2975.123046875
2004-05-01,RUS,RUB,Russia,42.0,29.0,1.44827586206897,0.09857022708158238,0.024390243902439025,4102.36474609375
2005-06-01,RUS,RUB,Russia,42.0,28.4055,1.47858689338332,0.020929045431336824,0.0,5323.455078125
2006-05-01,RUS,RUB,Russia,48.0,27.06375,1.77359013440488,0.1995170134009034,0.14285714285714285,6920.19970703125
2007-06-01,RUS,RUB,Russia,52.0,25.64825,2.0274287719435002,0.14312136305595471,0.08333333333333333,9101.2392578125
2008-06-01,RUS,RUB,Russia,59.0,23.2336,2.5394256593898503,0.25253508016242077,0.1346153846153846,11635.2841796875
2009-07-01,RUS,RUB,Russia,67.0,32.7959,2.04293829411603,-0.1955116754207767,0.13559322033898305,8562.82421875
2010-07-01,RUS,RUB,Russia,71.0,30.44325,2.3322082891938303,0.1415950721130155,0.05970149253731343,10674.990234375
2011-07-01,RUS,RUB,Russia,75.0,27.7525,2.70245923790649,0.15875552386474168,0.056338028169014086,14305.33203125
2012-07-01,RUS,RUB,Russia,75.0,32.76525,2.28901046077781,-0.15298982916351614,0.0,15401.8515625
2013-07-01,RUS,RUB,Russia,87.0,32.9389,2.64125395808603,0.1538846166690418,0.16,15941.4482421875
2014-07-01,RUS,RUB,Russia,89.0,34.83725,2.5547366683650403,-0.03275614200449088,0.022988505747126436,14055.47265625
2015-07-01,RUS,RUB,Russia,107.0,56.815,1.8833054651060501,-0.26281816500825006,0.20224719101123595,9277.7138671875
2016-07-01,RUS,RUB,Russia,130.0,63.40755,2.05022903423961,0.08863329514320738,0.21495327102803738,8663.158203125
2017-07-01,RUS,RUB,Russia,137.0,60.1369,2.2781353877569397,0.11116141158436749,0.05384615384615385,10658.9130859375
2018-07-01,RUS,RUB,Russia,130.0,62.14065,2.09202832606353,-0.08169271356460137,-0.051094890510948905,11211.8876953125
2019-07-09,RUS,RUB,Russia,130.0,63.83875,2.03638072487322,-0.026599831606974187,0.0,11447.701171875
2020-07-01,RUS,RUB,Russia,135.0,70.585,1.91258766026776,-0.06079072694678298,0.038461538461538464,10108.3271484375
2000-04-01,KOR,KRW,South Korea,3000.0,1108.0,2.70758122743682,,,12257.0206622345
2001-04-01,KOR,KRW,South Korea,3000.0,1325.0,2.26415094339623,-0.16377358490565808,0.0,11561.207174511499
2002-04-01,KOR,KRW,South Korea,3100.0,1304.0,2.37730061349693,0.04997443762780918,0.03333333333333333,13165.08362497
2003-04-01,KOR,KRW,South Korea,3300.0,1220.0,2.7049180327868902,0.13781068217874465,0.06451612903225806,14672.805753946499
2004-05-01,KOR,KRW,South Korea,3200.0,1177.0,2.71877655055225,0.005123452022345145,-0.030303030303030304,16496.1316167114
2005-06-01,KOR,KRW,South Korea,2500.0,1005.5,2.48632521133764,-0.08549850820487376,-0.21875,19402.5026259549
2006-05-01,KOR,KRW,South Korea,2500.0,952.4,2.62494750104998,0.05575388492230309,0.0,21743.4774514254
2007-06-01,KOR,KRW,South Korea,2900.0,922.5,3.14363143631436,0.19759783197831812,0.16,24086.4104391677
2008-06-01,KOR,KRW,South Korea,3200.0,1018.05,3.1432640832964998,-0.00011685626171583002,0.10344827586206896,21350.427979823
2009-07-01,KOR,KRW,South Korea,3400.0,1314.5,2.58653480410803,-0.17711820083681923,0.0625,19143.8516053025
2010-07-01,KOR,KRW,South Korea,3400.0,1204.45,2.82286520818631,0.09136950475320559,0.0,23079.2601257735
2011-07-01,KOR,KRW,South Korea,3700.0,1056.2,3.50312440825601,0.2409818216246911,0.08823529411764706,25097.595426845
2012-07-01,KOR,KRW,South Korea,3700.0,1151.0,3.2145960034752403,-0.08236316246741868,0.0,25459.168900096498
2013-07-01,KOR,KRW,South Korea,3900.0,1135.7,3.4340054591881697,0.06825413068258962,0.05405405405405406,27179.5170146052
2014-07-01,KOR,KRW,South Korea,4100.0,1023.75,4.00488400488401,0.1662427600889142,0.05128205128205128,29252.9312377352
2015-07-01,KOR,KRW,South Korea,4300.0,1143.5,3.76038478355925,-0.0610502628856641,0.04878048780487805,28737.4391706499
2016-07-01,KOR,KRW,South Korea,4400.0,1140.95,3.85643542661817,0.025542769846017395,0.023255813953488372,29280.4403170048
2017-07-01,KOR,KRW,South Korea,4400.0,1144.65,3.84396977241952,-0.0032324291268067762,0.0,31600.7358741365
2018-07-01,KOR,KRW,South Korea,4500.0,1116.0,4.03225806451613,0.048982771260996476,0.022727272727272728,33447.156283616605
2019-07-09,KOR,KRW,South Korea,4500.0,1180.55,3.81178264368303,-0.054677904366608764,0.0,31902.416904819398
2020-07-01,KOR,KRW,South Korea,4500.0,1200.95,3.74703359840127,-0.016986552312751518,0.0,31721.2989141857
2000-04-01,POL,PLN,Poland,5.5,4.3,1.27906976744186,,,4501.47996121234
2001-04-01,POL,PLN,Poland,5.9,4.03,1.4640198511166298,0.14459733814572912,0.0727272727272728,4991.24435799511
2002-04-01,POL,PLN,Poland,5.9,4.04,1.46039603960396,-0.002475247524755862,0.0,5207.129304207
2003-04-01,POL,PLN,Poland,6.3,3.89,1.6195372750642698,0.10897128665417834,0.06779661016949143,5701.6388630191395
2004-05-01,POL,PLN,Poland,6.3,3.87,1.6279069767441898,0.005167958656331558,0.0,6681.309750873879
